number,status,codeshareStatus,isCargo,scheduled_utc,revised_utc,gate,dest_iata,dest_name,dest_country,airline_name,airline_iata,aircraft_model,delay_min,is_outlier,dep_hour,dep_dow,dep_month,is_weekend,route,route_avg_delay,aircraft_family
U2 5188,Departed,IsOperator,False,2025-10-19 07:55:00+00:00,2025-10-19 08:09:00+00:00,A84,BER,Berlin,de,easyJet,U2,Airbus A320,14.0,False,7,6,10,1,BER,7.192926045016077,Narrow-body
UA 135,Departed,IsOperator,False,2025-10-19 08:10:00+00:00,2025-10-19 08:10:00+00:00,E43,EWR,Newark,us,United,UA,Boeing 767-300,0.0,False,8,6,10,1,EWR,15.626436781609195,Wide-body
FB 492,Departed,IsOperator,False,2025-10-19 08:00:00+00:00,2025-10-19 08:10:00+00:00,A52,SOF,Sofia,bg,Bulgaria Air,FB,Airbus A220-300,10.0,False,8,6,10,1,SOF,6.219512195121951,Narrow-body
KL 1918,Departed,IsOperator,False,2025-10-19 07:20:00+00:00,2025-10-19 08:15:00+00:00,B01,AMS,Amsterdam,nl,KLM,KL,Embraer 190,55.0,True,7,6,10,1,AMS,11.314754098360655,Regional
NJE 767,Departed,IsOperator,False,2025-10-19 08:25:00+00:00,2025-10-19 08:25:00+00:00,Unknown,PEG,Perugia,it,NetJets Europe,Unknown,Embraer Pheom 300,0.0,False,8,6,10,1,PEG,0.0,Regional
LX 318,Departed,IsOperator,False,2025-10-19 08:30:00+00:00,2025-10-19 08:30:00+00:00,D33,LHR,London,gb,SWISS,LX,Airbus A320 NEO,0.0,False,8,6,10,1,LHR,6.634457611668186,Narrow-body
LO 412,Departed,IsOperator,False,2025-10-19 08:30:00+00:00,2025-10-19 08:35:00+00:00,A81,WAW,Warsaw,pl,LOT - Polish,LO,Embraer 195,5.0,False,8,6,10,1,WAW,9.523690773067331,Regional
SK 602,Departed,IsOperator,False,2025-10-19 08:20:00+00:00,2025-10-19 08:37:00+00:00,A67,CPH,Copenhagen,dk,SAS,SK,Airbus A321 (Sharklets),17.0,False,8,6,10,1,CPH,6.48469387755102,Narrow-body
XQ 961,Departed,IsOperator,False,2025-10-19 08:25:00+00:00,2025-10-19 08:37:00+00:00,D39,ADB,İzmir,tr,Sun Express,XQ,Boeing 737 MAX 8,12.0,False,8,6,10,1,ADB,11.788732394366198,Narrow-body
LX 1210,Departed,IsOperator,False,2025-10-19 08:40:00+00:00,2025-10-19 08:40:00+00:00,A54,OSL,Oslo,no,SWISS,LX,Embraer 195,0.0,False,8,6,10,1,OSL,6.579787234042553,Regional
OS 552,Departed,IsOperator,False,2025-10-19 08:40:00+00:00,2025-10-19 08:40:00+00:00,A75,VIE,Vienna,at,Austrian,OS,Airbus A320,0.0,False,8,6,10,1,VIE,6.910039113428944,Narrow-body
